sample_id,count_in_64x64_candidate,first_x_tile,first_y_tile,tl,tr,bl,br,png
0,62,4,8,0x2502,0x2503,0x2502,0x2503,chips/mapchip_sample_00_count62_xy4_8.png
1,57,3,8,0x2503,0x2502,0x2503,0x2502,chips/mapchip_sample_01_count57_xy3_8.png
2,30,2,12,0x2512,0x2513,0x2512,0x2513,chips/mapchip_sample_02_count30_xy2_12.png
3,18,1,12,0x2513,0x2512,0x2513,0x2512,chips/mapchip_sample_03_count18_xy1_12.png
4,16,0,0,0x0002,0x0003,0x0002,0x0003,chips/mapchip_sample_04_count16_xy0_0.png
5,15,1,0,0x0003,0x0002,0x0003,0x0002,chips/mapchip_sample_05_count15_xy1_0.png
6,15,14,16,0x2502,0x2503,0x2A02,0x2A03,chips/mapchip_sample_06_count15_xy14_16.png
7,14,26,21,0x2A12,0x2A13,0x2A12,0x2A13,chips/mapchip_sample_07_count14_xy26_21.png
8,13,1,11,0x2503,0x2502,0x2513,0x2512,chips/mapchip_sample_08_count13_xy1_11.png
9,12,0,11,0x2502,0x2503,0x2512,0x2513,chips/mapchip_sample_09_count12_xy0_11.png
10,12,21,16,0x2503,0x2502,0x2A03,0x2A02,chips/mapchip_sample_10_count12_xy21_16.png
11,11,0,19,0x2A02,0x2A03,0x2512,0x2513,chips/mapchip_sample_11_count11_xy0_19.png
12,10,0,1,0x0002,0x0003,0x2A02,0x2A03,chips/mapchip_sample_12_count10_xy0_1.png
13,10,1,1,0x0003,0x0002,0x2A03,0x2A02,chips/mapchip_sample_13_count10_xy1_1.png
14,10,3,15,0x2513,0x2512,0x2503,0x2502,chips/mapchip_sample_14_count10_xy3_15.png
15,9,0,8,0x2502,0x2503,0x2502,0x2603,chips/mapchip_sample_15_count9_xy0_8.png
16,9,4,15,0x2512,0x2513,0x2502,0x2503,chips/mapchip_sample_16_count9_xy4_15.png
17,9,8,20,0x2512,0x2513,0x2A12,0x2A13,chips/mapchip_sample_17_count9_xy8_20.png
18,9,27,21,0x2A13,0x2A12,0x2A13,0x2A12,chips/mapchip_sample_18_count9_xy27_21.png
19,8,2,2,0x2A02,0x2A03,0x2A02,0x2A03,chips/mapchip_sample_19_count8_xy2_2.png
20,8,6,7,0x2312,0x2313,0x2502,0x2503,chips/mapchip_sample_20_count8_xy6_7.png
21,8,21,7,0x2313,0x2312,0x2503,0x2502,chips/mapchip_sample_21_count8_xy21_7.png
22,8,1,19,0x2A03,0x2A02,0x2513,0x2512,chips/mapchip_sample_22_count8_xy1_19.png
23,7,8,8,0x2602,0x2503,0x2502,0x2503,chips/mapchip_sample_23_count7_xy8_8.png
24,7,36,16,0x2A02,0x2A03,0x2502,0x2503,chips/mapchip_sample_24_count7_xy36_16.png
25,7,27,20,0x2513,0x2512,0x2A13,0x2A12,chips/mapchip_sample_25_count7_xy27_20.png
26,7,6,49,0x2502,0x2503,0x2504,0x2505,chips/mapchip_sample_26_count7_xy6_49.png
27,6,9,2,0x2A03,0x2A02,0x2A03,0x2A02,chips/mapchip_sample_27_count6_xy9_2.png
28,6,32,9,0x2502,0x2503,0x4B02,0x4B03,chips/mapchip_sample_28_count6_xy32_9.png
29,6,4,44,0x2512,0x2513,0xB912,0xB913,chips/mapchip_sample_29_count6_xy4_44.png
30,5,1,8,0x2503,0x2502,0x2603,0x2602,chips/mapchip_sample_30_count5_xy1_8.png
31,5,5,8,0x2503,0x2502,0x2503,0x2602,chips/mapchip_sample_31_count5_xy5_8.png
32,5,6,8,0x2502,0x2503,0x2602,0x2603,chips/mapchip_sample_32_count5_xy6_8.png
33,5,41,8,0x2603,0x2502,0x2503,0x2502,chips/mapchip_sample_33_count5_xy41_8.png
34,5,30,16,0x2C02,0x2A03,0x2A02,0x2A03,chips/mapchip_sample_34_count5_xy30_16.png
35,5,38,16,0x2A02,0x2A03,0x2C02,0x2A03,chips/mapchip_sample_35_count5_xy38_16.png
36,5,45,16,0x2A03,0x2A02,0x2503,0x2502,chips/mapchip_sample_36_count5_xy45_16.png
37,5,4,27,0x2E02,0x2E03,0x2512,0x2513,chips/mapchip_sample_37_count5_xy4_27.png
38,5,0,29,0x2E12,0x2D13,0x2512,0x2513,chips/mapchip_sample_38_count5_xy0_29.png
39,5,1,44,0x2513,0x2512,0xBC13,0xB912,chips/mapchip_sample_39_count5_xy1_44.png
