pattern,rom_offset,snes_linear,context_hex
STA_2115_VMAIN,00A21C,C0:A21C,e2 20 b0 03 4c 91 a2 ad b3 03 29 83 8d 15 21 ad b3 03 29 04 4a 4a 8d 00 43 ad b3
STA_2115_VMAIN,00A263,C0:A263,21 e2 20 a9 01 8d 0b 42 e2 20 a9 80 8d 15 21 c2 20 ad af 03 18 6d b9 03 18 69 06
STA_2115_VMAIN,00A2AA,C0:A2AA,bb 03 8d 16 21 e2 20 ad b3 03 29 83 8d 15 21 ad b3 03 29 04 f0 18 c2 20 ad b9 03
STA_2115_VMAIN,00B83F,C0:B83F,aa 03 60 22 0f a3 80 ad aa 03 29 83 8d 15 21 c2 20 a5 0f 8d 16 21 e2 20 ad aa 03
STA_2115_VMAIN,00F408,C0:F408,8d 32 21 ad 82 03 8d 33 21 60 a9 80 8d 15 21 c2 10 a5 09 8d 16 21 a5 0a 8d 17 21
STA_2116_VMADD,00A0F7,C0:A0F7,20 7e fa 7a 6b 20 37 a1 c2 20 a5 3d 8d 16 21 e2 20 ad 3a 21 a9 39 8d 01 43 a9 81
STA_2116_VMADD,00A11A,C0:A11A,20 37 a1 a9 18 8d 01 43 c2 20 a5 41 8d 16 21 e2 20 a9 01 8d 00 43 a9 01 8d 0b 42
STA_2116_VMADD,00A255,C0:A255,8d 02 43 ad b9 03 8d 05 43 ad bb 03 8d 16 21 e2 20 a9 01 8d 0b 42 e2 20 a9 80 8d
STA_2116_VMADD,00A2A0,C0:A2A0,b7 03 38 e9 40 00 8d b7 03 ad bb 03 8d 16 21 e2 20 ad b3 03 29 83 8d 15 21 ad b3
STA_2116_VMADD,00B846,C0:B846,ad aa 03 29 83 8d 15 21 c2 20 a5 0f 8d 16 21 e2 20 ad aa 03 29 04 f0 1e a5 0c d0
STA_2116_VMADD,00BA4E,C0:BA4E,da 22 4e f1 00 a9 80 8d 00 21 a5 09 8d 16 21 a5 0a 8d 17 21 ad 39 21 ad 3a 21 a2
STA_2116_VMADD,00BA86,C0:BA86,da 22 4e f1 00 a9 80 8d 00 21 a5 09 8d 16 21 a5 0a 8d 17 21 a2 00 bf ba 25 7e 8d
STA_2116_VMADD,00C97C,C0:C97C,04 8d 06 43 a9 00 8d 07 43 ad 3e 11 8d 16 21 ad 3f 11 8d 17 21 ad 39 21 ad 3a 21
STA_2116_VMADD,00F40F,C0:F40F,33 21 60 a9 80 8d 15 21 c2 10 a5 09 8d 16 21 a5 0a 8d 17 21 a4 0c a5 06 8d 18 21
STA_2117_VMADDH,00BA53,C0:BA53,a9 80 8d 00 21 a5 09 8d 16 21 a5 0a 8d 17 21 ad 39 21 ad 3a 21 a2 00 ad 39 21 9f
STA_2117_VMADDH,00BA8B,C0:BA8B,a9 80 8d 00 21 a5 09 8d 16 21 a5 0a 8d 17 21 a2 00 bf ba 25 7e 8d 18 21 e8 bf ba
STA_2117_VMADDH,00C982,C0:C982,8d 07 43 ad 3e 11 8d 16 21 ad 3f 11 8d 17 21 ad 39 21 ad 3a 21 a9 01 8d 0b 42 c2
STA_2117_VMADDH,00F414,C0:F414,8d 15 21 c2 10 a5 09 8d 16 21 a5 0a 8d 17 21 a4 0c a5 06 8d 18 21 a5 07 8d 19 21
STA_2118_VMDATAL,00A2BF,C0:A2BF,18 c2 20 ad b9 03 4a a8 bf 00 80 7e 8d 18 21 e8 e8 88 d0 f4 e2 20 4c 5f a2 ad b3
STA_2118_VMDATAL,00A2EB,C0:A2EB,d0 f5 4c 5f a2 ac b9 03 bf 00 80 7e 8d 18 21 e8 88 d0 f5 4c 5f a2 c2 20 ad b1 03
STA_2118_VMDATAL,00B85B,C0:B85B,04 f0 1e a5 0c d0 02 c6 0d 20 10 b9 8d 18 21 c6 0c 20 10 b9 8d 19 21 c6 0c d0 ee
STA_2118_VMDATAL,00BA94,C0:BA94,21 a5 0a 8d 17 21 a2 00 bf ba 25 7e 8d 18 21 e8 bf ba 25 7e 8d 19 21 e8 e0 20 90
STA_2118_VMDATAL,00F41B,C0:F41B,8d 16 21 a5 0a 8d 17 21 a4 0c a5 06 8d 18 21 a5 07 8d 19 21 88 d0 f3 e2 10 6b ad
STA_2119_VMDATAH,00A2DA,C0:A2DA,03 29 80 f0 11 ac b9 03 bf 00 80 7e 8d 19 21 e8 88 d0 f5 4c 5f a2 ac b9 03 bf 00
STA_2119_VMDATAH,00B863,C0:B863,0d 20 10 b9 8d 18 21 c6 0c 20 10 b9 8d 19 21 c6 0c d0 ee c6 0d 10 ea 80 20 da a2
STA_2119_VMDATAH,00BA9C,C0:BA9C,bf ba 25 7e 8d 18 21 e8 bf ba 25 7e 8d 19 21 e8 e0 20 90 ec ad 73 03 8d 00 21 fa
STA_2119_VMDATAH,00F420,C0:F420,8d 17 21 a4 0c a5 06 8d 18 21 a5 07 8d 19 21 88 d0 f3 e2 10 6b ad 57 03 d0 2e ad
STA_420B_MDMAEN,00A10B,C0:A10B,a9 39 8d 01 43 a9 81 8d 00 43 a9 01 8d 0b 42 20 37 a1 a9 18 8d 01 43 c2 20 a5 41
STA_420B_MDMAEN,00A126,C0:A126,8d 16 21 e2 20 a9 01 8d 00 43 a9 01 8d 0b 42 c2 20 ad bf 03 69 40 01 8d bf 03 e2
STA_420B_MDMAEN,00A25C,C0:A25C,05 43 ad bb 03 8d 16 21 e2 20 a9 01 8d 0b 42 e2 20 a9 80 8d 15 21 c2 20 ad af 03
