pattern,raw_offset,snes_c_mirror,snes_80_mirror,context_hex
JSL $80:A151 transfer_queue_begin?,0x00B80A,C0:B80A,80:B80A,8D AA 03 AD AB 03 F0 2C 22 51 A1 80 A5 0C D0 02 C6 0D 20 10
JSL $80:A151 transfer_queue_begin?,0x00B8D6,C0:B8D6,80:B8D6,20 F0 02 B0 CD FA 7A 60 22 51 A1 80 A2 0F 20 10 B9 85 06 20
JSL $80:A151 transfer_queue_begin?,0x00C8F4,C0:C8F4,80:C8F4,C2 20 A5 90 85 0F E2 20 22 51 A1 80 60 22 85 A1 80 60 22 F9
JSL $80:A151 transfer_queue_begin?,0x00D452,C0:D452,80:D452,C2 20 A5 90 85 0F E2 20 22 51 A1 80 60 5A DA A9 CF 85 D8 C2
JSL $80:A151 transfer_queue_begin?,0x00D86C,C0:D86C,80:D86C,C2 20 A5 90 85 0F E2 20 22 51 A1 80 AE 0F 03 22 28 BD 80 85
JSL $80:A151 transfer_queue_begin?,0x02D47F,C2:D47F,82:D47F,C2 20 A5 90 85 0F E2 20 22 51 A1 80 C2 20 A7 09 85 06 E6 09
JSL $80:A151 transfer_queue_begin?,0x02D68C,C2:D68C,82:D68C,C2 20 A5 90 85 0F E2 20 22 51 A1 80 C2 20 A7 09 29 FF E3 05
JSL $80:A151 transfer_queue_begin?,0x02D881,C2:D881,82:D881,C2 20 A5 90 85 0F E2 20 22 51 A1 80 A9 08 38 ED B6 00 AA AC
JSL $80:A151 transfer_queue_begin?,0x03BBF7,C3:BBF7,83:BBF7,64 10 64 06 64 07 A0 00 22 51 A1 80 22 70 A1 80 C8 C0 20 90
JSL $80:A151 transfer_queue_begin?,0x03BC2F,C3:BC2F,83:BC2F,64 07 64 09 A2 00 A0 00 22 51 A1 80 22 70 A1 80 C8 C0 02 90
JSL $80:A151 transfer_queue_begin?,0x03E614,C3:E614,83:E614,18 69 20 00 85 0F E2 20 22 51 A1 80 A2 00 C2 20 A5 20 85 06
JSL $80:A151 transfer_queue_begin?,0x04A789,C4:A789,84:A789,C2 20 A5 90 85 0F E2 20 22 51 A1 80 22 70 A1 80 22 85 A1 80
JSL $80:A151 transfer_queue_begin?,0x04AA7D,C4:AA7D,84:AA7D,0A 69 00 48 85 0F E2 20 22 51 A1 80 A2 00 BF 4B 39 7E 85 06
JSL $80:A151 transfer_queue_begin?,0x04AAEA,C4:AAEA,84:AAEA,18 20 E8 AA FA 60 5A DA 22 51 A1 80 A0 00 BF 4B 39 7E 85 06
JSL $80:A151 transfer_queue_begin?,0x04AB49,C4:AB49,84:AB49,C2 20 A5 90 85 0F E2 20 22 51 A1 80 C2 20 AD CA 12 18 69 00
JSL $80:A151 transfer_queue_begin?,0x04ABA0,C4:ABA0,84:ABA0,C2 20 A5 90 85 0F E2 20 22 51 A1 80 C2 20 AD CA 12 18 69 01
JSL $80:A170 transfer_queue_byte/word?,0x00B820,C0:B820,80:B820,06 C6 0C 20 10 B9 85 07 22 70 A1 80 C6 0C D0 EC C6 0D 10 E8
JSL $80:A170 transfer_queue_byte/word?,0x00B8E6,C0:B8E6,80:B8E6,B9 85 06 20 10 B9 85 07 22 70 A1 80 CA 10 EF 22 85 A1 80 60
JSL $80:A170 transfer_queue_byte/word?,0x00C8BC,C0:C8BC,80:C8BC,0B 03 48 20 E8 C8 A2 00 22 70 A1 80 E8 EE 0B 03 AD 0B 03 18
