pattern_id,count,tl,tr,bl,br,tiles,pals,hflips,vflips,priority
0,82,0x2502,0x2503,0x2502,0x2503,"0x102,0x103,0x102,0x103","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
1,54,0x3E02,0x3E03,0x3E02,0x3E03,"0x202,0x203,0x202,0x203","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
2,43,0x2512,0x2513,0x2512,0x2513,"0x112,0x113,0x112,0x113","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
3,20,0x3E12,0x3E13,0x3E12,0x3E13,"0x212,0x213,0x212,0x213","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
4,20,0x4B12,0x4B13,0x4B12,0x4B13,"0x312,0x313,0x312,0x313","4,4,4,4","0,0,0,0","1,1,1,1","0,0,0,0"
5,16,0x0002,0x0003,0x0002,0x0003,"0x002,0x003,0x002,0x003","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
6,13,0x2A12,0x2A13,0x2A12,0x2A13,"0x212,0x213,0x212,0x213","2,2,2,2","0,0,0,0","1,1,1,1","0,0,0,0"
7,13,0x3902,0x3903,0x3902,0x3903,"0x102,0x103,0x102,0x103","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
8,12,0x4B02,0x4B03,0x4B02,0x4B03,"0x302,0x303,0x302,0x303","4,4,4,4","0,0,0,0","1,1,1,1","0,0,0,0"
9,12,0x3E02,0x3E03,0x3E04,0x3E05,"0x202,0x203,0x204,0x205","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
10,10,0x3912,0x3913,0x3912,0x3913,"0x112,0x113,0x112,0x113","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
11,10,0x3202,0x3203,0x3202,0x3203,"0x202,0x203,0x202,0x203","3,3,3,3","0,0,0,0","0,0,0,0","0,0,0,0"
12,9,0x2502,0x2503,0x2502,0x2603,"0x102,0x103,0x102,0x203","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
13,9,0x3902,0x3903,0x3B02,0x3B03,"0x102,0x103,0x302,0x303","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
14,9,0x5812,0x5813,0x5812,0x5813,"0x012,0x013,0x012,0x013","5,5,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
15,8,0x2502,0x2503,0x2504,0x2505,"0x102,0x103,0x104,0x105","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
16,8,0x3C02,0x3C03,0x3902,0x3903,"0x002,0x003,0x102,0x103","3,3,3,3","1,1,0,0","1,1,1,1","0,0,0,0"
17,8,0x6212,0x6113,0x3E12,0x3E13,"0x212,0x113,0x212,0x213","6,6,3,3","0,0,1,1","0,0,1,1","0,0,0,0"
18,7,0x2A02,0x2A03,0x2A02,0x2A03,"0x202,0x203,0x202,0x203","2,2,2,2","0,0,0,0","1,1,1,1","0,0,0,0"
19,7,0x2502,0x2503,0x2E02,0x2D03,"0x102,0x103,0x202,0x103","2,2,2,2","1,1,1,1","0,0,1,1","0,0,0,0"
20,7,0x3912,0x3B13,0x3912,0x3913,"0x112,0x313,0x112,0x113","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
21,7,0x3912,0x3913,0x3B12,0x3B13,"0x112,0x113,0x312,0x313","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
22,7,0x2A02,0x2A03,0x2502,0x2503,"0x202,0x203,0x102,0x103","2,2,2,2","0,0,1,1","1,1,0,0","0,0,0,0"
23,7,0x2502,0x4303,0x3E02,0x3E03,"0x102,0x303,0x202,0x203","2,4,3,3","1,0,1,1","0,0,1,1","0,0,0,0"
24,6,0x2502,0x2503,0x2602,0x2603,"0x102,0x103,0x202,0x203","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
25,6,0x2602,0x2503,0x2502,0x2503,"0x202,0x103,0x102,0x103","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
26,6,0x2502,0x2503,0x2A02,0x2A03,"0x102,0x103,0x202,0x203","2,2,2,2","1,1,0,0","0,0,1,1","0,0,0,0"
27,6,0x2512,0x2513,0xB912,0xB913,"0x112,0x113,0x112,0x113","2,2,3,3","1,1,0,0","0,0,1,1","0,0,1,1"
28,6,0x4B12,0x4B13,0x4E12,0x4B13,"0x312,0x313,0x212,0x313","4,4,4,4","0,0,1,0","1,1,1,1","0,0,0,0"
29,6,0x2E12,0x4B13,0x2E12,0x4B13,"0x212,0x313,0x212,0x313","2,4,2,4","1,0,1,0","1,1,1,1","0,0,0,0"
30,6,0x3B12,0x3B13,0x3912,0x3913,"0x312,0x313,0x112,0x113","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
31,6,0x3E12,0x3E13,0x6212,0x6113,"0x212,0x213,0x212,0x113","3,3,6,6","1,1,0,0","1,1,0,0","0,0,0,0"
32,5,0x2312,0x2313,0x2312,0x2213,"0x312,0x313,0x312,0x213","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
33,5,0x2502,0x2503,0x2602,0x2503,"0x102,0x103,0x202,0x103","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
34,5,0x2502,0x2503,0x2E02,0x2E03,"0x102,0x103,0x202,0x203","2,2,2,2","1,1,1,1","0,0,1,1","0,0,0,0"
35,5,0x2D02,0x2D03,0x2E02,0x2E03,"0x102,0x103,0x202,0x203","2,2,2,2","1,1,1,1","1,1,1,1","0,0,0,0"
36,5,0x3B12,0x3B13,0x5812,0x5813,"0x312,0x313,0x012,0x013","3,3,5,5","0,0,0,0","1,1,1,1","0,0,0,0"
37,5,0xCA12,0xDA13,0xCA12,0xDA13,"0x212,0x213,0x212,0x213","4,5,4,5","0,0,0,0","1,1,1,1","1,1,1,1"
38,5,0x3902,0x3903,0x3C02,0x3903,"0x102,0x103,0x002,0x103","3,3,3,3","0,0,1,0","1,1,1,1","0,0,0,0"
39,5,0x2502,0x2503,0x2567,0x2539,"0x102,0x103,0x167,0x139","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
40,5,0x3912,0x3C13,0x3B12,0x3B13,"0x112,0x013,0x312,0x313","3,3,3,3","0,1,0,0","1,1,1,1","0,0,0,0"
41,5,0x4B12,0x4E13,0x4B12,0x4B13,"0x312,0x213,0x312,0x313","4,4,4,4","0,1,0,0","1,1,1,1","0,0,0,0"
42,5,0x3E02,0x3E03,0x3F02,0x3F03,"0x202,0x203,0x302,0x303","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
43,5,0x2502,0x2503,0x2502,0x4303,"0x102,0x103,0x102,0x303","2,2,2,4","1,1,1,0","0,0,0,0","0,0,0,0"
44,5,0x3E02,0x3E03,0x3E2A,0x3E2A,"0x202,0x203,0x22A,0x22A","3,3,3,3","1,1,1,1","1,1,1,1","0,0,0,0"
45,5,0x3212,0x2E13,0x3212,0x3213,"0x212,0x213,0x212,0x213","3,2,3,3","0,1,0,0","0,1,0,0","0,0,0,0"
46,5,0x2D12,0x2D13,0x3212,0x3213,"0x112,0x113,0x212,0x213","2,2,3,3","1,1,0,0","1,1,0,0","0,0,0,0"
47,5,0x3A12,0x3A13,0x3B12,0x3B13,"0x212,0x213,0x312,0x313","3,3,3,3","0,0,0,0","1,1,1,1","0,0,0,0"
48,5,0x4A12,0x4A13,0x4412,0x4413,"0x212,0x213,0x012,0x013","4,4,4,4","0,0,1,1","1,1,0,0","0,0,0,0"
49,5,0x2D02,0x3203,0x2D02,0x3203,"0x102,0x203,0x102,0x203","2,3,2,3","1,0,1,0","1,0,1,0","0,0,0,0"
50,4,0x2312,0x2313,0x2312,0x2313,"0x312,0x313,0x312,0x313","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
51,4,0x2212,0x2113,0x2312,0x2313,"0x212,0x113,0x312,0x313","2,2,2,2","0,0,0,0","0,0,0,0","0,0,0,0"
52,4,0x2602,0x2603,0x2502,0x2503,"0x202,0x203,0x102,0x103","2,2,2,2","1,1,1,1","0,0,0,0","0,0,0,0"
53,4,0x2512,0x2513,0x3912,0x3913,"0x112,0x113,0x112,0x113","2,2,3,3","1,1,0,0","0,0,1,1","0,0,0,0"
54,4,0x2C02,0x2A03,0x2A02,0x2A03,"0x002,0x203,0x202,0x203","2,2,2,2","1,0,0,0","1,1,1,1","0,0,0,0"
55,4,0x2502,0x2503,0x2D02,0x2D03,"0x102,0x103,0x102,0x103","2,2,2,2","1,1,1,1","0,0,1,1","0,0,0,0"
56,4,0x3102,0x3103,0x2E02,0x2E03,"0x102,0x103,0x202,0x203","3,3,2,2","0,0,1,1","0,0,1,1","0,0,0,0"
57,4,0x3102,0x3103,0x2E02,0x2D03,"0x102,0x103,0x202,0x103","3,3,2,2","0,0,1,1","0,0,1,1","0,0,0,0"
58,4,0x2902,0x2903,0x2E02,0x2E03,"0x102,0x103,0x202,0x203","2,2,2,2","0,0,1,1","1,1,1,1","0,0,0,0"
59,4,0x2512,0x2513,0x3112,0x2513,"0x112,0x113,0x112,0x113","2,2,3,2","1,1,0,1","0,0,0,0","0,0,0,0"
60,4,0x5102,0x5103,0x5102,0x5203,"0x102,0x103,0x102,0x203","5,5,5,5","0,0,0,0","0,0,0,0","0,0,0,0"
