tile,tile_hex,count,palette,hflip,vflip,priority,vram_offset_if_charbase_8000_4bpp
258,0x102,492,2,1,0,0,0xA040
259,0x103,487,2,1,0,0,0xA060
274,0x112,370,2,1,0,0,0xA240
275,0x113,357,2,1,0,0,0xA260
514,0x202,351,3,1,1,0,0xC040
515,0x203,334,3,1,1,0,0xC060
531,0x213,277,3,1,1,0,0xC260
530,0x212,235,3,1,1,0,0xC240
787,0x313,198,4,0,1,0,0xE260
274,0x112,177,3,0,1,0,0xA240
786,0x312,167,4,0,1,0,0xE240
275,0x113,165,3,0,1,0,0xA260
258,0x102,154,3,0,1,0,0xA040
259,0x103,143,3,0,1,0,0xA060
787,0x313,141,3,0,1,0,0xE260
786,0x312,130,3,0,1,0,0xE240
786,0x312,125,2,0,0,0,0xE240
260,0x104,124,2,1,0,0,0xA080
770,0x302,117,4,0,1,0,0xE040
771,0x303,117,3,0,1,0,0xE060
515,0x203,116,2,1,1,0,0xC060
771,0x303,109,4,0,1,0,0xE060
514,0x202,105,2,1,1,0,0xC040
530,0x212,105,2,1,1,0,0xC240
770,0x302,103,3,0,1,0,0xE040
787,0x313,97,2,0,0,0,0xE260
514,0x202,96,3,0,0,0,0xC040
515,0x203,96,3,0,0,0,0xC060
530,0x212,95,3,0,0,0,0xC240
531,0x213,92,2,1,1,0,0xC260
258,0x102,90,2,1,1,0,0xA040
259,0x103,88,2,1,1,0,0xA060
259,0x103,88,2,0,0,0,0xA060
19,0x013,87,5,0,1,0,0x8260
18,0x012,86,5,0,1,0,0x8240
531,0x213,86,3,0,0,0,0xC260
275,0x113,85,2,0,0,0,0xA260
531,0x213,85,2,0,0,0,0xC260
514,0x202,85,3,1,0,1,0xC040
2,0x002,85,3,1,1,0,0x8040
258,0x102,81,2,0,0,0,0xA040
275,0x113,81,3,0,1,1,0xA260
515,0x203,80,2,0,1,0,0xC060
3,0x003,79,3,1,1,0,0x8060
530,0x212,78,3,0,1,0,0xC240
786,0x312,77,3,0,1,1,0xE240
274,0x112,76,3,0,1,1,0xA240
275,0x113,75,2,1,1,0,0xA260
