screen_index,screen_vram_base,screen_x,screen_y,x,y,global_x_assuming_4x4,global_y_assuming_4x4,entry_hex,tile,tile_hex,tile_vram_offset_if_charbase_8000_4bpp,palette,hflip,vflip,priority
0,0x0000,0,0,0,0,0,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,1,0,1,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,2,0,2,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,3,0,3,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,4,0,4,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,5,0,5,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,6,0,6,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,7,0,7,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,8,0,8,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,9,0,9,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,10,0,10,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,11,0,11,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,12,0,12,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,13,0,13,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,14,0,14,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,15,0,15,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,16,0,16,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,17,0,17,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,18,0,18,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,19,0,19,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,20,0,20,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,21,0,21,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,22,0,22,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,23,0,23,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,24,0,24,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,25,0,25,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,26,0,26,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,27,0,27,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,28,0,28,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,29,0,29,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,30,0,30,0,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,31,0,31,0,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,0,1,0,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,1,1,1,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,2,1,2,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,3,1,3,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,4,1,4,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,5,1,5,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,6,1,6,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,7,1,7,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,8,1,8,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,9,1,9,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,10,1,10,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,11,1,11,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,12,1,12,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,13,1,13,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,14,1,14,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,15,1,15,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,16,1,16,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,17,1,17,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,18,1,18,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,19,1,19,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,20,1,20,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,21,1,21,1,0x0003,3,0x003,0x8060,0,0,0,0
0,0x0000,0,0,22,1,22,1,0x0002,2,0x002,0x8040,0,0,0,0
0,0x0000,0,0,23,1,23,1,0x0003,3,0x003,0x8060,0,0,0,0
