source_label,source_member,reason_or_target,note
time_model_vol028,shinmomo-analysis/analysis/dispatch_chain.md,shinmomo-analysis/analysis/dispatch_chain.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/goal13_npc_throttling.md,shinmomo-analysis/analysis/goal13_npc_throttling.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/state_machine_model.md,shinmomo-analysis/analysis/state_machine_model.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_ai_model.md,shinmomo-analysis/analysis/vm_ai_model.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_behavior_layer.md,shinmomo-analysis/analysis/vm_behavior_layer.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_branching.md,shinmomo-analysis/analysis/vm_branching.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_command_dispatch.md,shinmomo-analysis/analysis/vm_command_dispatch.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_execution_model.md,shinmomo-analysis/analysis/vm_execution_model.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_opcode_inference.md,shinmomo-analysis/analysis/vm_opcode_inference.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_scheduler.md,shinmomo-analysis/analysis/vm_scheduler.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_time_slicing.md,shinmomo-analysis/analysis/vm_time_slicing.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/analysis/vm_two_stage_dispatch.md,shinmomo-analysis/analysis/vm_two_stage_dispatch.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/code/vm_dispatch.asm,shinmomo-analysis/code/vm_dispatch.asm,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/code/vm_full_simulator.py,shinmomo-analysis/code/vm_full_simulator.py,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/code/vm_opcode_probe.asm,shinmomo-analysis/code/vm_opcode_probe.asm,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/code/vm_scheduler.asm,shinmomo-analysis/code/vm_scheduler.asm,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/data/command_size_estimates.csv,shinmomo-analysis/data/command_size_estimates.csv,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/data/command_slot_effects.csv,shinmomo-analysis/data/command_slot_effects.csv,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/data/npc_timing_model.csv,shinmomo-analysis/data/npc_timing_model.csv,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/data/object_slot_map.csv,shinmomo-analysis/data/object_slot_map.csv,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/data/opcode_behavior_inference.csv,shinmomo-analysis/data/opcode_behavior_inference.csv,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/data/state_values.csv,shinmomo-analysis/data/state_values.csv,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/data/vm_opcode_map.csv,shinmomo-analysis/data/vm_opcode_map.csv,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/docs/full_system_model.md,shinmomo-analysis/docs/full_system_model.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/docs/handover_vol028_time_model.md,shinmomo-analysis/docs/handover_vol028_time_model.md,conflict preserved under source_conflicts
time_model_vol028,shinmomo-analysis/notes/unresolved_targets.md,shinmomo-analysis/notes/unresolved_targets.md,conflict preserved under source_conflicts
