selector,schema_rom_offset,schema_bankaddr,base_ptr_low,record_size,field_index,field_offset,field_type,mask,type_meaning
selector2,0x040000,C4:0000,0x49C3,16,0,0,1,0xFF,u16
selector2,0x040000,C4:0000,0x49C3,16,1,2,1,0xFF,u16
selector2,0x040000,C4:0000,0x49C3,16,2,4,1,0xFF,u16
selector2,0x040000,C4:0000,0x49C3,16,3,6,1,0xFF,u16
selector2,0x040000,C4:0000,0x49C3,16,4,8,0,0xFF,u8
selector2,0x040000,C4:0000,0x49C3,16,5,9,0,0xFF,u8
selector2,0x040000,C4:0000,0x49C3,16,6,10,0,0xFF,u8
selector2,0x040000,C4:0000,0x49C3,16,7,11,0,0xFF,u8
selector2,0x040000,C4:0000,0x49C3,16,8,12,0,0xFF,u8
selector2,0x040000,C4:0000,0x49C3,16,9,13,2,0xFF,u16_plus_u8
selector1,0x0406BE,C4:06BE,0x42AC,11,0,0,1,0xFF,u16
selector1,0x0406BE,C4:06BE,0x42AC,11,1,2,1,0xFF,u16
selector1,0x0406BE,C4:06BE,0x42AC,11,2,4,1,0xFF,u16
selector1,0x0406BE,C4:06BE,0x42AC,11,3,6,1,0xFF,u16
selector1,0x0406BE,C4:06BE,0x42AC,11,4,8,0,0xFF,u8
selector1,0x0406BE,C4:06BE,0x42AC,11,5,9,0,0xFF,u8
selector1,0x0406BE,C4:06BE,0x42AC,11,6,10,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,0,0,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,1,1,1,0xFF,u16
selector0,0x0406D6,C4:06D6,0x5CF9,32,2,3,1,0xFF,u16
selector0,0x0406D6,C4:06D6,0x5CF9,32,3,5,1,0xFF,u16
selector0,0x0406D6,C4:06D6,0x5CF9,32,4,7,1,0xFF,u16
selector0,0x0406D6,C4:06D6,0x5CF9,32,5,9,1,0xFF,u16
selector0,0x0406D6,C4:06D6,0x5CF9,32,6,11,1,0xFF,u16
selector0,0x0406D6,C4:06D6,0x5CF9,32,7,13,1,0xFF,u16
selector0,0x0406D6,C4:06D6,0x5CF9,32,8,15,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,9,16,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,10,17,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,11,18,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,12,19,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,13,20,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,14,21,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,15,22,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,16,23,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,17,24,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,18,25,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,19,26,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,20,27,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,21,28,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,22,29,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,23,30,0,0xFF,u8
selector0,0x0406D6,C4:06D6,0x5CF9,32,24,31,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,0,0,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,1,1,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,2,2,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,3,3,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,4,4,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,5,5,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,6,6,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,7,7,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,8,8,0,0xFF,u8
selector3,0x047BF9,C4:7BF9,0x5863,10,9,9,0,0xFF,u8
